Date,Open,High,Low,Close,Volume
9/4/18,191.71,193.5,189.4,192.57,158473
9/5/18,188.88,190.2,180.01,184.39,365251
9/6/18,183.68,185.43,174.8,176.08,321631
9/7/18,173.85,185.8,172.1,185.35,270336
9/10/18,186.31,187.6,183.13,187.09,234808
9/11/18,186.05,194.26,184.9,193.5,202284
9/12/18,193.36,199.51,190.52,198.83,256921
9/13/18,200,206,200,202.22,207851
9/14/18,204,207,200.41,201.75,207114
9/17/18,205.03,207.34,200.01,200.19,173764
9/18/18,201.06,213,200.27,210.33,323742
9/19/18,211.6,215.47,209.5,213.33,289551
9/20/18,214.07,217.77,212.45,215.68,221188
9/21/18,215.63,217.09,207.53,208.84,266835
9/24/18,207.88,213.4,203.26,209.64,224168
9/25/18,210.38,213.56,205.95,208.45,323543
9/26/18,209.66,213.5,207.49,210.7,254510
9/27/18,211.69,214.7,211.69,214.06,157060
9/28/18,213.91,217.69,210.87,212.3,231695
10/1/18,213.97,213.97,208.22,209.04,172732
10/2/18,208.99,210.35,200,200.29,230130
10/3/18,201.99,208.05,201.98,205.98,199692
10/4/18,205.91,206.32,191.14,192.35,390809
10/5/18,192.38,195.64,182.73,189.04,472585
10/9/18,182.74,186.1,180.58,181.58,351913
10/10/18,181.15,181.7,166.63,169.99,662486
10/11/18,166.01,174.52,166,166.72,561258
10/12/18,174.9,178,169.94,176.2,363778
10/15/18,177.01,177.7,171.68,176.16,262380
10/16/18,179.29,189.01,179.29,188.91,403433
10/17/18,189.22,190,174.14,178.89,520423
10/18/18,178.97,182.59,174.8,176.07,375126
10/19/18,177.49,179.9,165.5,166.07,505210
10/22/18,169.76,177.5,165,176.12,386030
10/23/18,168.25,174.18,166.58,173.01,367075
10/24/18,173.91,176.31,159.25,159.47,387810
10/25/18,173.29,180.99,167,178.82,636226
10/26/18,170.5,180.99,168.91,174.5,514653
10/29/18,180.13,180.13,164.47,168.62,339907
10/30/18,165.41,173.61,161.45,169.63,311839
10/31/18,173.51,182.42,171.78,181.87,500393
11/1/18,181.78,190,177.58,189.01,401175
11/2/18,189.88,195,186.68,190.95,431957
11/5/18,188,189.1,183.12,185.01,321337
11/6/18,185.38,188.73,182.63,185.15,245612
11/7/18,188.38,195.91,186.63,193.87,459903
11/8/18,193.51,197.6,192.62,197.02,282627
11/9/18,194,194,183.19,186.23,350693
11/12/18,184.77,184.77,173.15,179.57,399942
11/13/18,181.2,185.57,177.7,183.93,394588
11/14/18,185.99,191.18,185,189,296728
11/15/18,188.16,199.05,187.85,197.87,440777
11/16/18,191.99,199,190.21,198.8,329782
11/19/18,198.45,199.25,176.02,176.33,514116
11/20/18,164.8,180.42,162,179.34,591654
11/21/18,185,185.99,175.34,175.69,433921
11/22/18,175.99,178.1,175.41,176.38,60647
11/23/18,174.5,180.11,172.17,178.25,143645
11/26/18,182.25,191.58,181.3,191.45,330223
11/27/18,188.88,194.72,187.61,192.03,282111
11/28/18,194.67,199.1,193.68,199,321398
11/29/18,198.7,201.06,194.3,197.86,291531
11/30/18,199.02,203.15,197.07,202.24,365850
12/3/18,207.49,209.6,203.36,207.35,388433
12/4/18,205.87,210.05,197.91,199.12,321887
12/5/18,200.99,203,196.5,199.7,94341
12/6/18,191.71,210,190.8,209.65,437888
12/7/18,208.7,212.25,193.18,195.13,425300
12/10/18,195.28,203.23,192.96,203.23,354638
12/11/18,207.34,212.76,205.21,207.3,364193
12/12/18,211.01,218.25,210.56,213.78,445825
12/13/18,215.94,219.3,213.16,215.12,322361
12/14/18,198.68,199.59,187.24,187.66,938899
12/17/18,187.24,187.24,172.52,173.8,643867
12/18/18,180,183.13,176.58,181.01,468950
12/19/18,182.02,188.8,177.86,179.44,451595
12/20/18,177,181.99,164.27,172.09,845565
12/21/18,173.22,173.96,165.59,166.39,588559
12/24/18,162.6,166.85,160.02,161.56,381252
12/27/18,171.03,180.5,171,180.26,440135
12/28/18,183.77,185.45,176.58,182.02,351144
12/31/18,185,191.65,184.1,188.79,301294
1/2/19,182.02,188.99,179.14,187.11,301619
1/3/19,184.84,184.84,174.59,174.91,315696
1/4/19,180,186.75,179.15,184.98,268375
1/7/19,186.86,193.9,185.2,191.91,280448
1/8/19,195,199.09,191.68,193.21,276355
1/9/19,194.65,198.67,191,196.36,259798
1/10/19,194.86,198.3,191.51,195.96,167895
1/11/19,194.81,199.11,194.62,198.13,153081
1/14/19,195.2,199,191.75,197.7,229633
1/15/19,198.9,205.88,198.47,204.72,264690
1/16/19,206.03,210.24,203.56,209.11,275748
1/17/19,208.97,212.6,207.68,209.68,218971
1/18/19,212.5,212.5,209.05,210.55,227862
1/21/19,210.25,211.78,208.04,210.19,75030
1/22/19,209.33,211.27,205.67,208.87,201559
1/23/19,210.88,213.8,206.5,209.19,181361
1/24/19,209.01,212.73,208.87,211.5,156830
1/25/19,212.91,216.37,212.2,215.46,239174
1/28/19,211.64,213.82,210.2,211.31,179931
1/29/19,212.87,212.87,205.07,208.61,224604
1/30/19,211.11,214.04,208.8,213.62,158752
1/31/19,213.5,222.83,212.95,221.18,348123
2/1/19,221.25,223.76,219.33,223.25,159086
2/4/19,223.55,229.37,223.55,227.61,162584
2/5/19,228.64,232.25,227.56,227.95,167961
2/6/19,226.6,229.82,225.04,229.12,182619
2/7/19,226.89,231,226.89,228.72,207143
2/8/19,226.8,234.69,225.25,233.3,247981
2/11/19,235,239.5,229.83,229.83,331573
2/12/19,216.7,232.93,212.82,232.37,445503
2/13/19,235.54,238.18,226.4,227.53,268912
2/14/19,227,235.51,226.05,234.39,256703
2/15/19,235.03,236.68,230.36,236.05,223146
2/19/19,237.03,245.5,235.5,239.75,326150
2/20/19,241.04,242.6,233.56,236.35,233163
2/21/19,236.97,238.25,233.74,236.16,214292
2/22/19,237.63,241.47,236.89,241.47,182962
2/25/19,244.99,248.74,242.68,247.73,233607
2/26/19,246.86,248.2,242.52,244.14,227205
2/27/19,243.96,248.97,242.74,248.87,188078
2/28/19,248.95,252,247.12,249.28,295398
3/1/19,252,256.35,250.33,254.71,237569
3/4/19,255.55,259.39,243.17,248.21,326014
3/5/19,248.21,252.68,245.98,250.92,210787
3/6/19,251.8,252.9,247.54,251.95,244359
3/7/19,251.05,255.3,248.41,251.93,203623
3/8/19,245.13,254.74,243,254.36,327946
3/11/19,256.9,269.35,256.68,268.46,590493
3/12/19,268.46,272.61,264.24,270.52,447751
3/13/19,272.5,275.5,269.94,273.38,452299
3/14/19,272.99,279.38,271.21,277.29,468177
3/15/19,278.65,279.57,271.74,273.42,5829405
3/18/19,272.7,274.92,268.87,274.92,422203
3/19/19,276.36,276.36,262.53,268.77,539662
3/20/19,267.45,270.72,265,267.48,362294
3/21/19,265.95,274.5,265.26,274,316480
3/22/19,274.01,274.34,266.44,267.02,462093
3/25/19,265.82,271.9,264,269.9,329553
3/26/19,273.49,277.48,271.51,273.53,397185
3/27/19,276.35,276.38,264,268.37,348136
3/28/19,268.87,273.84,264.64,273.54,289358
3/29/19,275.2,277.29,271.93,275.86,216615
4/1/19,278.91,280.26,271.5,274.38,249847
4/2/19,275.25,275.25,264.5,268.84,404848
4/3/19,270.33,274.1,265.2,273.7,342645
4/4/19,273.71,273.71,254.23,260.25,580039
4/5/19,261.46,265,260.83,263.56,239159
4/8/19,262.24,267.39,260.83,266.42,264575
4/9/19,264.52,272.05,262.27,271.82,380413
4/10/19,272.1,276.1,270.63,275.15,239552
4/11/19,277.82,282.93,276.04,282.17,263703
4/12/19,284.7,286.5,282.89,286.47,394567
4/15/19,286.56,294.19,284.24,291.67,248573
4/16/19,294.19,296.21,285.44,287.48,272577
4/17/19,288.54,291.21,281.88,289.53,193563
4/18/19,289.84,295.45,285.6,295.45,244013
4/22/19,293.25,301.49,293.25,299.49,203640
4/23/19,302.1,305.11,298.28,299.79,280854
4/24/19,301.6,301.81,294.72,296.33,240165
4/25/19,297.77,299.75,292.48,295.37,177320
4/26/19,296.21,303.13,295.5,299.1,273017
4/29/19,302.32,307.65,301.25,303.04,224937
4/30/19,304,332.76,304,325.75,554233
5/1/19,325.95,338.4,318.88,331,464898
5/2/19,331.9,350.98,330.43,343.85,675755
5/3/19,348.95,357.54,342.48,354.86,308621
5/6/19,346.58,358.44,344.1,357.14,375507
5/7/19,354,358.6,343.57,348.07,341731
5/8/19,348,356,347,352.67,260633
5/9/19,350,352.16,343.1,350.2,254273
5/10/19,349.28,351.91,339.51,347.27,419415
5/13/19,333.79,340.02,329.84,337.78,387077
5/14/19,330.4,342.08,326.69,340.87,370422
5/15/19,338.11,356.35,337.95,355.01,248719
5/16/19,356.81,376,356.01,374.49,483662
5/17/19,372.4,377,366.32,368.05,301759
5/21/19,366.03,366.86,361.48,365.94,272996
5/22/19,364.23,376.23,363.23,373.54,285457
5/23/19,370,374.63,361.85,365.87,263456
5/24/19,369.56,374.88,366.5,370.73,220909
5/27/19,373,376.23,372.8,376.23,99574
5/28/19,376.16,385.35,375,381.42,716708
5/29/19,377.75,378.8,365.84,367.85,290906
5/30/19,370.89,375,365.17,374.06,181578
5/31/19,369.88,376.99,368.25,371.84,201458
6/3/19,371.85,374.43,352.63,355.84,435094
6/4/19,361.64,367.95,354.73,367.95,453762
6/5/19,372.83,393,371.26,392.24,465188
6/6/19,392.15,399.5,387.08,397.46,335299
6/7/19,398.04,410.55,397.21,405.69,386242
6/10/19,408.7,418.15,404.11,407.35,322997
6/11/19,411.92,413.11,397.09,407.49,295044
6/12/19,405.2,417,402.05,413.9,250739
6/13/19,417.23,418.04,407.5,409.69,249838
6/14/19,408.39,410.23,404,409.15,228937
6/17/19,408.94,412.33,406.1,410.53,205952
6/18/19,415.75,417.6,406.81,407.19,220148
6/19/19,409.24,435.37,403.98,434.95,455952
6/20/19,438.13,446.4,430.06,433.02,401821
6/21/19,432.8,437.57,428.5,431.5,719366
6/24/19,427.81,428.31,410.3,410.7,319409
6/25/19,402.9,407.31,371.4,373.79,456363
6/26/19,380,388.47,370.45,379.45,322235
6/27/19,379.46,396.26,379.45,394.66,282707
6/28/19,397.72,398.29,383.09,393.58,261256
7/2/19,399.21,412.18,399.21,409.2,222505
7/3/19,408.63,416.19,405.7,410.35,190966
7/4/19,411.01,414.99,409.33,414.04,52542
7/5/19,408.33,410.59,398.4,410.59,274109
7/8/19,409.8,431.49,408.8,421.47,324698
7/9/19,423.21,426,419.36,422.74,291737
7/10/19,425.05,427.1,416.59,417.24,220803
7/11/19,416.86,417.92,411.19,411.21,171238
7/12/19,410.96,411.77,395.1,404.06,236825
7/15/19,403.74,423.1,399,422.8,219198
7/16/19,422.6,423.33,411.72,415.6,193649
7/17/19,417.94,439.63,416.58,424.65,324577
7/18/19,424.38,434.5,422.48,431.43,244005
7/19/19,435.15,442.99,430.61,431.05,212085
7/22/19,434.18,446.5,433.97,439.46,185843
7/23/19,443.87,446,432,434,231926
7/24/19,433.76,435.9,425.56,433.34,194846
7/25/19,434.5,445.48,430.69,438.79,234332
7/26/19,441.39,446.77,438.6,442.99,195930
7/29/19,445.15,445.15,413,420.47,427466
7/30/19,414.8,424.62,409.41,413.83,223707
7/31/19,415.86,421.64,410.11,419.41,303833
8/1/19,441.8,463,435,451.58,613048
8/2/19,450.1,452.01,427.38,438.95,411934
8/6/19,435,442.61,430,441.88,367930
8/7/19,436.46,456.16,436.46,453.65,348088
8/8/19,456.29,474.25,455.3,473.1,337202